arm	candidate_id	sample_index	framework_aligned_cdr_rmsd_angstrom	target_aligned_cdr_rmsd_angstrom	framework_gate_pass	design_to_target_iptm	design_ptm	iptm	ptm	design_npz_sha256	fold_npz_sha256
internal	design_0	0	1.583935386	52.294058578	true	0.121539533	0.733403921	0.141302586	0.611097336	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	68c124be537e32ec551428636c040aa8e4ab3ca2cb2a194951622649b8b06409
internal	design_0	1	1.798587013	69.465412995	true	0.083741806	0.710170507	0.089180328	0.584366262	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	68c124be537e32ec551428636c040aa8e4ab3ca2cb2a194951622649b8b06409
internal	design_0	2	1.508764162	44.540188730	true	0.157513246	0.742807329	0.196559995	0.630615771	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	68c124be537e32ec551428636c040aa8e4ab3ca2cb2a194951622649b8b06409
internal	design_0	3	1.170813263	74.235966799	true	0.101018086	0.716992021	0.109224744	0.593322873	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	68c124be537e32ec551428636c040aa8e4ab3ca2cb2a194951622649b8b06409
internal	design_0	4	1.465354016	55.193894241	true	0.129063308	0.742999434	0.148357004	0.620259047	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	68c124be537e32ec551428636c040aa8e4ab3ca2cb2a194951622649b8b06409
internal	design_1	0	1.962338007	27.646323249	true	0.100984886	0.712825358	0.108073898	0.590330064	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	df547071bcf6307ea6d20ac858b0febaede9a33de77d323183c4aeebfe9d18b2
internal	design_1	1	1.670119662	67.482674571	true	0.076476298	0.698320627	0.078818776	0.573217392	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	df547071bcf6307ea6d20ac858b0febaede9a33de77d323183c4aeebfe9d18b2
internal	design_1	2	1.423828673	64.944926207	true	0.073799796	0.696633518	0.076779738	0.571504772	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	df547071bcf6307ea6d20ac858b0febaede9a33de77d323183c4aeebfe9d18b2
internal	design_1	3	3.824007579	40.648499724	true	0.265472263	0.755001426	0.265472263	0.653267801	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	df547071bcf6307ea6d20ac858b0febaede9a33de77d323183c4aeebfe9d18b2
internal	design_1	4	1.725025757	67.173288894	true	0.072173633	0.702778995	0.075777620	0.576236665	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	df547071bcf6307ea6d20ac858b0febaede9a33de77d323183c4aeebfe9d18b2
internal	design_2	0	1.629498023	30.545791742	true	0.201069638	0.755971432	0.230199143	0.649576604	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fe1da6b8aef040483fa7eae78ec52d703fabccc1768f35659d6b75c40c4bca9b
internal	design_2	1	1.443948637	59.822648229	true	0.153471172	0.713897347	0.197176114	0.606826842	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fe1da6b8aef040483fa7eae78ec52d703fabccc1768f35659d6b75c40c4bca9b
internal	design_2	2	1.372507813	30.057618799	true	0.197932690	0.729397535	0.245163932	0.628106058	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fe1da6b8aef040483fa7eae78ec52d703fabccc1768f35659d6b75c40c4bca9b
internal	design_2	3	1.666167628	62.344744826	true	0.145067900	0.696497500	0.178140268	0.590872586	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fe1da6b8aef040483fa7eae78ec52d703fabccc1768f35659d6b75c40c4bca9b
