state_order	target_state_id	panel_role	target_identity	source_id	source_pdb	cohort_id	conformer_id	independence_group	relative_path	sha256	coordinate_sha256	required_status	required_active_for_ai	required_parse_status	required_geometry_complete	compact_cluster_weight
0	DEV_00	positive_primary	GLP1_7_36_6X18	6X18		positive_6x18_reference	6X18_model01	PDB:6X18	data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/inputs/target/6X18_GLP1_7-36_geometry.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	2f6128f2612ddacf477dbefea4b8f1abd6b48b72f55aee0bd42ef3b1989fa672	USE_PRIMARY	true	PASS	true	
1	DEV_01	positive_fixed_control	GLP1_7_36_1D0R	1D0R		positive_1d0r_all	1D0R_model10	PDB:1D0R	data/样本数据/binding-多构象/all_conformers/1D0R_model10.cif	edd33b497d112b8a470c38ff9b6c77e59a495eaca8dccf78beca9707fc714625	eddcea6efe3b2be1f44e232e01914d569ac280ac3553afbfa2508aa44282f85c	USE_POSITIVE_FIXED_CONTROL	true	PASS	true	
2	DEV_02	positive_compact_medoid	GLP1_7_36_1D0R	1D0R		positive_1d0r_all	1D0R_model12	PDB:1D0R	data/样本数据/binding-多构象/all_conformers/1D0R_model12.cif	814bddfc85b4976dc510b93fe41900ff629efec4c602daefb3d2e4d2dc528f4e	6a3d10f45fec6ee446a21c2fcbcfb7351a8bea469a81a64bc4356cbce091d196	USE_POSITIVE_COMPACT	true	PASS	true	6
3	DEV_03	positive_compact_medoid	GLP1_7_36_1D0R	1D0R		positive_1d0r_all	1D0R_model19	PDB:1D0R	data/样本数据/binding-多构象/all_conformers/1D0R_model19.cif	00045785810e0509fa24c5bab36b4afe4834cd86485cb361652f4c4a48c31cd4	bd273352f8173457c768e3795c9d0d5b620a0035df56a8f29323335b807d1722	USE_POSITIVE_COMPACT	true	PASS	true	10
4	DEV_04	positive_compact_medoid	GLP1_7_36_1D0R	1D0R		positive_1d0r_all	1D0R_model20	PDB:1D0R	data/样本数据/binding-多构象/all_conformers/1D0R_model20.cif	dbd7bd7f9395c0169fd2298bbb234150ca71c35319332683a665066bfa74e2ea	c453b0f63fe5f427dc5cd7a9fd2534a5dc46ef9e353286bb8ab34413b38e8204	USE_POSITIVE_COMPACT	true	PASS	true	4
5	DEV_05	tuning_primary_truncation	GLP1_9_36_9IVM	9IVM	9IVM	countertarget_glp1_9_36_9ivm	9IVM_model01	PDB:9IVM	data/not_binding/GLP1_9_36/GLP1_9_36_reference_conf01.cif	fc29a1a30fc66803ed5098fbd9174ecd771e84807a6dcd3cd7b9c5fb922eead5	3c3967d58f95d5e48a027c5d8f9b4f1b1b4b262f352656f039555e6b80aeaf87	USE_TUNING_CHALLENGE	true	PASS	true	
6	DEV_06	tuning_family_glp2	GLP2_1_33_2L63	2L63	2L63	challenge_glp2_2l63	2L63_model01	PDB:2L63	data/not_binding/GLP2_1_33/GLP2_1_33_conf01.cif	69216c8c65088809db961c824c5dcb3a968b7059f241573dc9df428e4d3203a4	eaf92beaf3f96702b768e0dd44adf961c5de1fd65603222c59adf04ff140a52e	USE_TUNING_CHALLENGE	true	PASS	true	
7	DEV_07	tuning_family_glp2	GLP2_1_33_2L63	2L63	2L63	challenge_glp2_2l63	2L63_model02	PDB:2L63	data/not_binding/GLP2_1_33/GLP2_1_33_conf02.cif	66356793aa17abe36df8977d5c695739dbdb0a398aa3c1d2d59182be0d6de709	576bab36f4d8e8391500c1ab1f400a2ba04975baf3cff87242123bcbbd4e9bf0	USE_TUNING_CHALLENGE	true	PASS	true	
8	DEV_08	tuning_family_glp2	GLP2_1_33_2L63	2L63	2L63	challenge_glp2_2l63	2L63_model03	PDB:2L63	data/not_binding/GLP2_1_33/GLP2_1_33_conf03.cif	0d9431f5f0e620dfa70bba3e5491b4e6d325b77b5e41941887063606e8bb9d3f	0fc9c9e3f55c3cd6852837d3cd8baa3db1f2f5efb01eae8661f2cd21c27e1c10	USE_TUNING_CHALLENGE	true	PASS	true	
9	DEV_09	tuning_family_glp2	GLP2_1_33_2L63	2L63	2L63	challenge_glp2_2l63	2L63_model04	PDB:2L63	data/not_binding/GLP2_1_33/GLP2_1_33_conf04.cif	654eeecf9f1ae3fde2550117e307c2d787b2d6dd60e9821a0ed7e832dd34ae79	e5796ea8f5312d5768472097432b496882d07f92e20921f843a8f8caa4a292b0	USE_TUNING_CHALLENGE	true	PASS	true	
