repository_path,route,category,naming_role,size_bytes,sha256,legacy_workspace_path,legacy_sha256,transformation
.gitattributes,root,documentation_or_configuration,stable_repository_file,583,8b510e44631d86b022e7469d5e07d017c78c0f25514a4a46a6b35c33691dc4f8,,,repository_authored_or_generated_20260826
.github/workflows/repository_policy.yml,.github,documentation_or_configuration,stable_repository_file,469,2be720847275da88fcaaa11f17a20dbc49929a7f4eeafb615cfd394bf729a3a3,,,repository_authored_or_generated_20260826
.gitignore,root,documentation_or_configuration,stable_repository_file,920,d1b3baca6fe4a873b30b856ac62d91a3d680f7ef396e797479d7c6592023071f,,,repository_authored_or_generated_20260826
CONTRIBUTING.md,root,documentation_or_configuration,stable_repository_file,3273,5a79604530317e2dc6886b10a71e4f6135b2c2d085664d7cc86c6c39bf6519ed,,,repository_authored_or_generated_20260826
DATA_POLICY.md,root,documentation_or_configuration,stable_repository_file,3084,d7c87ff363f28864009851be1d0340380b4de2e25eea4b9e4c07ea1913d9bdbe,,,repository_authored_or_generated_20260826
README.md,root,documentation_or_configuration,stable_repository_file,7066,772d6a0a47a5ef3c33eb161ca1cb78ca906745e25bb80d438f9d2ac9fc644158,,,repository_authored_or_generated_20260826
SECURITY.md,root,documentation_or_configuration,stable_repository_file,870,adceb79337d4b076c225414be4028b02928e9182c337752e7cbf9d015459c70c,,,repository_authored_or_generated_20260826
THIRD_PARTY_NOTICES.md,root,documentation_or_configuration,stable_repository_file,1981,16f07251f7fd754a22c149e2b69e1c505441ed91d07f70fdede972ad840ae27b,,,repository_authored_or_generated_20260826
bindcraft/README.md,bindcraft,documentation_or_configuration,stable_repository_file,2411,b0d62c9fc713981e6c2cc86eedc2b54f39a40ddd41fe4153d155b6131501d9d6,,,repository_authored_or_generated_20260826
bindcraft/main/active_glp1_selectivity_20260823/README.md,bindcraft,documentation_or_configuration,stable_repository_file,702,29a43bce2eea9e3dfaf75f269a6596ad67ab9f72d10c358bf2d0e6571e351995,,,repository_authored_or_generated_20260826
bindcraft/main/active_glp1_selectivity_20260823/bindcraft_active_glp1_selectivity_prototype_20260823.ipynb,bindcraft,notebook,dated_artifact,69356,5362ce2562d1062225d8b1d1d9abec42c69d38f6b121f70bbf107ed7ef493e47,bindcraft/BindCraft-0823.ipynb,5362ce2562d1062225d8b1d1d9abec42c69d38f6b121f70bbf107ed7ef493e47,copied_preserving_bytes
