selection_rank	role	candidate_id	pdb_code	sabdab_id	source_hchain	heavy_species	method	resolution_a	r_free	variable_length_aa	cdr1_length_aa	cdr2_length_aa	cdr3_length_aa	quality_score	selection_utility	min_framework_sequence_distance	min_anchor_geometry_distance_scaled	framework_cluster_id	soft_flag_count	canonical_disulfide_rcsb_crosschecked	benchmark_7xl0	package_path	selection_interpretation	boltzgen_check_status	boltzgen_check_output_path	boltzgen_check_output_sha256
1	PRIMARY	pdb_00007xl0-A	7XL0	sabdab2_H03JML0000	A	lama glama	XRAY	1.7	0.1963	121	8	7	15	0.8099425	0.8099425			FWC0109	4	True	True	selected/01_pdb_00007xl0-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/01_pdb_00007xl0-A/boltzgen_check/output/check_spec.cif	d24a0584b105e31fb4baa4e35abf9dfa6de20fc5760c57ca2b365d22c1d3b206
2	PRIMARY	pdb_00006apo-A	6APO	sabdab2_H006BL0000	A	lama glama	XRAY	1.168	0.1728	116	8	7	11	0.91745	0.7630932764087573	0.23913043478260865	0.7305218945223566	FWC0077	4	True	False	selected/02_pdb_00006apo-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/02_pdb_00006apo-A/boltzgen_check/output/check_spec.cif	36723798b14b2d085f444b20de32c56cc62ef2111d54ff52b4bcf3bbec175a32
3	PRIMARY	pdb_00008v9x-A	8V9X	sabdab2_H04KPL0000	A	camelidae	XRAY	1.55	0.2181	113	8	7	7	0.8368725	0.7363602005494505	0.25274725274725274	1.0	FWC0211	4	True	False	selected/03_pdb_00008v9x-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/03_pdb_00008v9x-A/boltzgen_check/output/check_spec.cif	6a7044ecc057be82c2c709e38cc21f1a2bbbef706e93268e3484a8c791e53bfe
4	PRIMARY	pdb_00006xxo-A	6XXO	sabdab2_H02GEL0000	A	camelus dromedarius	XRAY	1.5	0.1832	124	8	8	17	0.86132	0.729723091354478	0.23076923076923073	0.8064524520063201	FWC0115	4	True	False	selected/04_pdb_00006xxo-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/04_pdb_00006xxo-A/boltzgen_check/output/check_spec.cif	b460583cb33e8093aa8e2bd27b67779c4dc85d2f57dd155cb442fc4cea53b3ab
5	PRIMARY	pdb_00005l21-B	5L21	sabdab2_H01GHL0000	B	vicugna pacos	XRAY	1.68	0.205	118	12	10	5	0.827825	0.7278291483516484	0.2417582417582418	1.0	FWC0060	2	True	False	selected/05_pdb_00005l21-B	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/05_pdb_00005l21-B/boltzgen_check/output/check_spec.cif	7f5224a804fb9832c83026bcd6362ac767f0007ad0148c8a5c37810761484c14
6	PRIMARY	pdb_00008fq7-A	8FQ7	sabdab2_H05V6L0000	A	camelus dromedarius	XRAY	1.4	0.2108	118	8	8	11	0.84908	0.7273230329670328	0.1648351648351648	1.0	FWC0180	4	True	False	selected/06_pdb_00008fq7-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/06_pdb_00008fq7-A/boltzgen_check/output/check_spec.cif	f8dbf7ad1fdcca7298077e4786d143614dd096910ca75c185194cdae94ffdad3
7	PRIMARY	pdb_00008e2n-B	8E2N	sabdab2_H0446L0000	B	vicugna pacos	XRAY	1.1	0.2126	127	8	11	17	0.8748849999999999	0.7206295553312293	0.18681318681318682	0.7084741796859203	FWC0168	4	True	False	selected/07_pdb_00008e2n-B	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/07_pdb_00008e2n-B/boltzgen_check/output/check_spec.cif	4ac71752ca529d7d26a10bd372e3775494947d7730bcde46ee76505b62ea6bb6
8	PRIMARY	pdb_00006xym-A	6XYM	sabdab2_H05T2L0000	A	lama glama	XRAY	1.2	0.1982	137	8	19	19	0.8214174212646483	0.7123548322478911	0.18681318681318682	1.0	FWC0117	4	True	False	selected/08_pdb_00006xym-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/08_pdb_00006xym-A/boltzgen_check/output/check_spec.cif	bf88d9ff289f1ad9864212255440f12ccab407a61ca265c9dc83ac4b206ad3dd
9	PRIMARY	pdb_00008im0-B	8IM0	sabdab2_H04CVL0000	B	camelus bactrianus	XRAY	1.31	0.1896	121	8	7	15	0.881235	0.6976092035561509	0.19780219780219777	0.4118426399571142	FWC0191	2	True	False	selected/09_pdb_00008im0-B	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/09_pdb_00008im0-B/boltzgen_check/output/check_spec.cif	c5d2581d8a4b49fcc77c1e41f1893e4b23d6243dd320eff54655bb2d59412d63
10	PRIMARY	pdb_00003tpk-A	3TPK	sabdab2_H05V3L0000	A	camelidae	XRAY	1.3	0.1761	120	8	8	14	0.8795474999999999	0.6902477794194601	0.17582417582417587	0.39399694254625034	FWC0017	4	True	False	selected/10_pdb_00003tpk-A	结构质量与框架多样性代表；未证明 GLP-1 结合或选择性	PASS	selected/10_pdb_00003tpk-A/boltzgen_check/output/check_spec.cif	1175312de0938695922d88c0358f99fde3ee55438f673640bde62ff79e021121
