candidate_id	selection_rank	role	package_path	boltzgen_check_status	boltzgen_check_exit_code	boltzgen_check_elapsed_seconds	target_cif_path	target_cif_sha256	check_spec_yaml_path	check_spec_yaml_sha256	boltzgen_check_output_path	boltzgen_check_output_sha256	boltzgen_check_stdout_path	boltzgen_check_stdout_sha256	boltzgen_check_stderr_path	boltzgen_check_stderr_sha256	atom_site_rows	label_asym_ids	target_residue_count	target_role	terminal_amide_atomically_verified	validated_at	boltzgen_check_message	command_json
pdb_00007xl0-A	1	PRIMARY	selected/01_pdb_00007xl0-A	PASS	0	3.108	selected/01_pdb_00007xl0-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/01_pdb_00007xl0-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/01_pdb_00007xl0-A/boltzgen_check/output/check_spec.cif	d24a0584b105e31fb4baa4e35abf9dfa6de20fc5760c57ca2b365d22c1d3b206	selected/01_pdb_00007xl0-A/boltzgen_check/stdout.log	197e3bc55ec09557892e1c102721eef1d8d39877735652428c8c1bbf0a4f8a59	selected/01_pdb_00007xl0-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1148	A,E	30	geometry_only	false	2026-08-19T07:49:16+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00006apo-A	2	PRIMARY	selected/02_pdb_00006apo-A	PASS	0	3.094	selected/02_pdb_00006apo-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/02_pdb_00006apo-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/02_pdb_00006apo-A/boltzgen_check/output/check_spec.cif	36723798b14b2d085f444b20de32c56cc62ef2111d54ff52b4bcf3bbec175a32	selected/02_pdb_00006apo-A/boltzgen_check/stdout.log	c036e2b7aa358f1e3844d2543dc30fb119ced9771404194cba7ac6d08ee75a9b	selected/02_pdb_00006apo-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1150	A,E	30	geometry_only	false	2026-08-19T07:49:19+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00008v9x-A	3	PRIMARY	selected/03_pdb_00008v9x-A	PASS	0	3.090	selected/03_pdb_00008v9x-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/03_pdb_00008v9x-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/03_pdb_00008v9x-A/boltzgen_check/output/check_spec.cif	6a7044ecc057be82c2c709e38cc21f1a2bbbef706e93268e3484a8c791e53bfe	selected/03_pdb_00008v9x-A/boltzgen_check/stdout.log	1d9543a486d50e38bbd5e7770c7f5cdb57fd0b69b7f1aed5e511f588b367a353	selected/03_pdb_00008v9x-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1071	A,E	30	geometry_only	false	2026-08-19T07:49:22+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00006xxo-A	4	PRIMARY	selected/04_pdb_00006xxo-A	PASS	0	3.158	selected/04_pdb_00006xxo-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/04_pdb_00006xxo-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/04_pdb_00006xxo-A/boltzgen_check/output/check_spec.cif	b460583cb33e8093aa8e2bd27b67779c4dc85d2f57dd155cb442fc4cea53b3ab	selected/04_pdb_00006xxo-A/boltzgen_check/stdout.log	a9333dbeceeed51e8dc86f2967af5f33dd62ba59898c04d0c0dfeebf73cfc696	selected/04_pdb_00006xxo-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1181	A,E	30	geometry_only	false	2026-08-19T07:49:25+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00005l21-B	5	PRIMARY	selected/05_pdb_00005l21-B	PASS	0	3.061	selected/05_pdb_00005l21-B/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/05_pdb_00005l21-B/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/05_pdb_00005l21-B/boltzgen_check/output/check_spec.cif	7f5224a804fb9832c83026bcd6362ac767f0007ad0148c8a5c37810761484c14	selected/05_pdb_00005l21-B/boltzgen_check/stdout.log	bc5e9c8b36fff43964f339a51bb28135a98e08bf3e94b1d4e3ec84f9aa225167	selected/05_pdb_00005l21-B/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1162	A,E	30	geometry_only	false	2026-08-19T07:49:28+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00008fq7-A	6	PRIMARY	selected/06_pdb_00008fq7-A	PASS	0	3.096	selected/06_pdb_00008fq7-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/06_pdb_00008fq7-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/06_pdb_00008fq7-A/boltzgen_check/output/check_spec.cif	f8dbf7ad1fdcca7298077e4786d143614dd096910ca75c185194cdae94ffdad3	selected/06_pdb_00008fq7-A/boltzgen_check/stdout.log	9cfa1f8d2d4fc0aa06a67ae97db306fc6ab182b3ed8717d4c87c680a79904ff5	selected/06_pdb_00008fq7-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1122	A,E	30	geometry_only	false	2026-08-19T07:49:31+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00008e2n-B	7	PRIMARY	selected/07_pdb_00008e2n-B	PASS	0	3.242	selected/07_pdb_00008e2n-B/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/07_pdb_00008e2n-B/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/07_pdb_00008e2n-B/boltzgen_check/output/check_spec.cif	4ac71752ca529d7d26a10bd372e3775494947d7730bcde46ee76505b62ea6bb6	selected/07_pdb_00008e2n-B/boltzgen_check/stdout.log	8c498352a73ca1963f9b8b6a9712ad30550000d537a4fb6b3bff79666dbfee71	selected/07_pdb_00008e2n-B/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1176	A,E	30	geometry_only	false	2026-08-19T07:49:34+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00006xym-A	8	PRIMARY	selected/08_pdb_00006xym-A	PASS	0	3.255	selected/08_pdb_00006xym-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/08_pdb_00006xym-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/08_pdb_00006xym-A/boltzgen_check/output/check_spec.cif	bf88d9ff289f1ad9864212255440f12ccab407a61ca265c9dc83ac4b206ad3dd	selected/08_pdb_00006xym-A/boltzgen_check/stdout.log	ae94f6407621c3f3457ff5b9ab2fcc7bdd72f7ff1699228607eea4284155221f	selected/08_pdb_00006xym-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1268	A,E	30	geometry_only	false	2026-08-19T07:49:38+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00008im0-B	9	PRIMARY	selected/09_pdb_00008im0-B	PASS	0	3.136	selected/09_pdb_00008im0-B/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/09_pdb_00008im0-B/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/09_pdb_00008im0-B/boltzgen_check/output/check_spec.cif	c5d2581d8a4b49fcc77c1e41f1893e4b23d6243dd320eff54655bb2d59412d63	selected/09_pdb_00008im0-B/boltzgen_check/stdout.log	461d66707abb3f32d09cfad40a20691ebaf1d21083493eccb27d533cb4ec7314	selected/09_pdb_00008im0-B/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1149	A,E	30	geometry_only	false	2026-08-19T07:49:41+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00003tpk-A	10	PRIMARY	selected/10_pdb_00003tpk-A	PASS	0	3.207	selected/10_pdb_00003tpk-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/10_pdb_00003tpk-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/10_pdb_00003tpk-A/boltzgen_check/output/check_spec.cif	1175312de0938695922d88c0358f99fde3ee55438f673640bde62ff79e021121	selected/10_pdb_00003tpk-A/boltzgen_check/stdout.log	197e3bc55ec09557892e1c102721eef1d8d39877735652428c8c1bbf0a4f8a59	selected/10_pdb_00003tpk-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1167	A,E	30	geometry_only	false	2026-08-19T07:49:44+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
pdb_00008gz6-A	11	RESERVE	selected/11_pdb_00008gz6-A	PASS	0	3.205	selected/11_pdb_00008gz6-A/target.cif	11b82b2633793e6799f1d56c19a88fd52828bec5d26d9366801753dfa72d2d53	selected/11_pdb_00008gz6-A/check_spec.yaml	a93c738c0cfaf30a6108367cf6c9ae93b06b39ddee2fdee71d5ce9f7a5f35c14	selected/11_pdb_00008gz6-A/boltzgen_check/output/check_spec.cif	11d368dd9589da443636220458d9bc681e2b6c3e68a3043ee165490582b61de3	selected/11_pdb_00008gz6-A/boltzgen_check/stdout.log	afc3401b4cfd3198359a52acb9b3cfce23587005c9acafea9cde2cfca0524dc2	selected/11_pdb_00008gz6-A/boltzgen_check/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1115	A,E	30	geometry_only	false	2026-08-19T07:49:47+00:00	BoltzGen 输入合同通过：target 为30残基 geometry-only；C端CONH2未完成原子级验证，且不代表结合、亲和力或选择性通过。	"[""$PROJECT_ROOT/data/boltzgen_data/mvp_run_001/env/bin/boltzgen"", ""check"", ""check_spec.yaml"", ""--moldir"", ""$PROJECT_ROOT/data/boltzgen_data/mvp_assets_v0.3.2/runtime_cache/mols.zip"", ""--output"", ""boltzgen_check/output""]"
