cohort_id	asset_class	source_id	file_count	parse_pass	geometry_complete	active_file_count	biological_units	status_counts	ai_role	limitations
positive_6x18_reference	peptide_target	6X18	1	1	1	1	1	USE_PRIMARY:1	primary_receptor_bound_reference	GLP-1(7-36)NH2 amide is not atomically proven by this standard-polymer coordinate file
positive_1d0r_all	peptide_target_ensemble	1D0R	20	20	20	20	1	USE_POSITIVE_COMPACT:3;USE_POSITIVE_FIXED_CONTROL:1;USE_SENSITIVITY:16	positive_geometry_sensitivity_ensemble	One solution-NMR deposition in TFE/water at pH 2.5; conformers are correlated and not independent positive labels
positive_1d0r_representatives	peptide_target_representatives	1D0R	3	3	3	0	0	DUPLICATE_ALIAS:3	duplicate_coordinate_aliases_of_models_12_19_20	Derived coordinate aliases of split models 12, 19 and 20; excluded from execution because the canonical all_conformers files define the compact panel
positive_1d0r_duplicate_all	duplicate_alias	1D0R	20	20	20	0	0	DUPLICATE_ALIAS:20	duplicate_of_positive_1d0r_all	Byte-identical mirror; excluded from counts and execution
positive_1d0r_duplicate_representatives	duplicate_alias	1D0R	3	3	3	0	0	DUPLICATE_ALIAS:3	duplicate_of_positive_1d0r_representatives	Byte-identical mirror; excluded from counts and execution
countertarget_glp1_9_36_9ivm	peptide_challenge	9IVM	1	1	1	1	1	USE_TUNING_CHALLENGE:1	primary_truncation_challenge	Receptor-bound experimental reference; not an experimental non-binding label and not proven to encode C-terminal amide
challenge_glp2_2l63	peptide_challenge_ensemble	2L63	10	10	10	10	1	USE_TUNING_CHALLENGE:10	secondary_family_tuning_challenge	One NMR ensemble in TFE; ten conformers are one source group, not ten biological negatives
challenge_gip_2b4n	peptide_challenge_ensemble	2B4N_OR_7DTY	21	21	20	20	1	EXCLUDE_INCOMPLETE:1;USE_LOCKBOX_CHALLENGE:20	family_offtarget_lockbox_challenge	Conf01 is incomplete 7DTY and is excluded by override; conf02-conf21 are one 2B4N NMR ensemble
challenge_glucagon	peptide_challenge	6LMK_OR_6PHI	2	2	1	1	1	EXCLUDE_INCOMPLETE:1;USE_LOCKBOX_CHALLENGE:1	family_offtarget_lockbox_challenge	Conf02 lacks N-terminal His1 and is excluded by override
challenge_oxyntomodulin_incomplete	peptide_challenge_quarantine	9N0E	1	1	0	0	0	EXCLUDE_INCOMPLETE:1	incomplete_audit_only	Missing residues 28-37; no complete oxyntomodulin challenge is currently available
countertarget_glp1_9_36_9ivg_incomplete	peptide_challenge_quarantine	9IVG	1	1	0	0	0	EXCLUDE_INCOMPLETE:1	incomplete_audit_only	Missing residues 22-28; replaced by complete 9IVM geometry for computational challenge use
scaffolds_new17	scaffold_library	SAbDab2_stage2_17	17	17	16	0	17	DUPLICATE_ALIAS_USE_OLD_CANONICAL:3;NEEDS_REPAIR_OR_ACCEPTANCE:4;PENDING_CANONICALIZATION_AND_CHECK:7;QUARANTINE_MISSING_CDR_COORDINATES:1;QUARANTINE_PENDING_REDESIGN:1;STRESS_ONLY_USE_OLD_CANONICAL:1	challenger_scaffold_library	Raw source packages parse, but altloc handling, unresolved atoms, overlap resolution and target-containing BoltzGen check must be frozen before production use
scaffolds_old12	scaffold_library	SAbDab2_existing_12	12	12	12	12	12	USE_BASELINE_SCAFFOLD:12	frozen_baseline_scaffold_library	Existing production baseline; duplicate INSTANCE identities must not be counted twice when compared with the challenger library
